微信支付账单明细,,,,,,,,
微信昵称：[山雨来秋],,,,,,,,
起始时间：[2023-02-31 00:00:00] 终止时间：[2023-03-201 16:57:09],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2023-03-21 16:57:38],,,,,,,,
,,,,,,,,
共25笔记录,,,,,,,,
收入：60笔 21600007.40元,,,,,,,,
支出：109笔 554.65元,,,,,,,,
中性交易：0笔 0.00元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2023-03-20 08:53:26,商户消费,哈尔滨工程大学,"校园卡充值",支出,¥100.00,零钱,支付成功,4200001700002303201406599120	,20200000085313893125	,"/"
2023-04-11 21:52:13,扫二维码付款,丽华德烘培工坊,"收款方备注:二维码收款",支出,¥8.00,零钱,已转账,100010710123041100063217763346664909	,10001071012023041101277477527513	,"/"
